angmax,angmin,b_fr,b_to,br_r,br_status,br_x,f_bus,id,index,name,rate_a,source_component,t_bus
90.0,-90.0,1.4837861949526814,1.4837861949526814,0.009848253769131014,1,0.08075568090687431,1,1,1,0,1698.1026117405274,lines,18
90.0,-90.0,0.7521963088307625,0.7521963088307625,0.0030025768781929826,1,0.02462113040118246,1,2,2,1,2189.658630928575,lines,27
90.0,-90.0,2.7170661888933156,2.7170661888933156,0.001808393028416053,1,0.014828822833011634,3,3,3,10,5362.429300233244,lines,19
90.0,-90.0,0.8586119888234404,0.8586119888234404,0.0022858595658064302,1,0.018744048439612727,3,4,4,11,2681.214650116622,lines,27
90.0,-90.0,1.0395696142260826,1.0395696142260826,0.004149698224123457,1,0.03402752543781235,3,5,5,12,2189.658630928575,lines,34
90.0,-90.0,10.031726409878521,10.031726409878521,0.0021392377588853096,1,0.01754174962285954,4,6,6,13,9473.625097078731,lines,15
90.0,-90.0,0.3769066737656407,0.3769066737656407,0.007463517643991827,1,0.06120084468073299,4,7,7,14,983.1120383760948,lines,25
90.0,-90.0,2.8889621479756573,2.8889621479756573,0.0011984220022508625,1,0.009827060418457071,4,8,8,15,6792.41044696211,lines,29
90.0,-90.0,1.7793007452728675,1.7793007452728675,0.011809656492733413,1,0.09683918324041399,5,9,9,16,1698.1026117405274,lines,18
90.0,-90.0,1.1204226171063554,1.1204226171063554,0.0074365203689532805,1,0.0609794670254169,5,10,10,17,1698.1026117405274,lines,28
90.0,-90.0,4.8765059899413625,4.8765059899413625,0.0020229105724174743,1,0.016587866693823287,5,11,11,18,6792.41044696211,lines,33
90.0,-90.0,1.3961093204291128,1.3961093204291128,0.009266320797298841,1,0.07598383053785052,5,12,12,19,1698.1026117405274,lines,34
90.0,-90.0,0.5498134764994962,0.5498134764994962,0.003649247216798554,1,0.029923827177748143,1,13,13,2,1698.1026117405274,lines,28
90.0,-90.0,29.435646421800033,29.435646421800033,0.0007631703989934744,1,0.00625799727174649,6,14,14,20,27169.64178784844,lines,8
90.0,-90.0,8.661098285595427,8.661098285595427,0.0017466869592471527,1,0.014322833065826653,6,15,15,21,9741.746562090395,lines,15
90.0,-90.0,8.630577301513357,8.630577301513357,0.0024168599665192895,1,0.019818251725458175,6,16,16,22,8267.078504526253,lines,22
90.0,-90.0,6.70372114033918,6.70372114033918,0.002780890333632855,1,0.022803300735789414,7,17,17,23,6792.41044696211,lines,8
90.0,-90.0,3.3547064979294987,3.3547064979294987,0.0033477843634543646,1,0.027451831780325793,7,18,18,24,4379.31726185715,lines,31
90.0,-90.0,4.252437606877042,4.252437606877042,0.0022035110440118957,1,0.01806879056089755,7,19,19,25,6077.419873597678,lines,37
90.0,-90.0,5.586658707044412,5.586658707044412,0.0055751311403673546,1,0.045716075351012304,8,20,20,26,4379.31726185715,lines,9
90.0,-90.0,14.3134408201188,14.3134408201188,0.003052301449510847,1,0.02502887188598894,8,21,21,27,9473.625097078731,lines,15
90.0,-90.0,2.207145426766161,2.207145426766161,0.003567833648762204,1,0.02925623591985007,8,22,22,28,3440.892134316332,lines,25
90.0,-90.0,9.774734433522475,9.774734433522475,0.0010137080559796212,1,0.008312406059032893,8,23,23,29,13584.82089392422,lines,29
90.0,-90.0,1.4516685168730246,1.4516685168730246,0.005794692518950292,1,0.0475164786553924,1,24,24,3,2189.658630928575,lines,34
90.0,-90.0,10.494964377623683,10.494964377623683,0.004353603674522505,1,0.03569955013108454,8,25,25,30,6792.41044696211,lines,31
90.0,-90.0,5.327605241739705,5.327605241739705,0.008840156449238027,1,0.07248928288375181,10,26,26,31,3396.205223481055,lines,35
90.0,-90.0,1.8760681861981885,1.8760681861981885,0.003946355190980939,1,0.0323601125660437,11,27,27,32,3016.3664813811993,lines,26
90.0,-90.0,8.756427674346652,8.756427674346652,0.008738359575119186,1,0.07165454851597733,12,28,28,33,4379.31726185715,lines,15
90.0,-90.0,14.29332893010259,14.29332893010259,0.0012062259975185962,1,0.00989105317965249,12,29,29,34,15059.488951488362,lines,32
90.0,-90.0,3.8462071641868496,3.8462071641868496,0.00638205563753237,1,0.052332856227765435,14,30,30,35,3396.205223481055,lines,35
90.0,-90.0,9.781562134294873,9.781562134294873,0.005999890024650515,1,0.04919909820213422,15,31,31,36,5585.86385440963,lines,22
90.0,-90.0,0.5232693475496125,0.5232693475496125,0.010361795849826232,1,0.0849667259685751,17,32,32,37,983.1120383760948,lines,21
90.0,-90.0,2.413171254740167,2.413171254740167,0.004004202725752439,1,0.032834462351170005,18,33,33,38,3396.205223481055,lines,28
90.0,-90.0,4.792526854330359,4.792526854330359,0.0019880736868193856,1,0.016302204231918964,19,34,34,39,6792.41044696211,lines,20
90.0,-90.0,6.495314799903106,6.495314799903106,0.0026944375762084686,1,0.022094388124909443,2,35,35,4,6792.41044696211,lines,6
90.0,-90.0,1.472809279196228,1.472809279196228,0.009775397280548185,1,0.08015825770049513,19,36,36,40,1698.1026117405274,lines,34
90.0,-90.0,2.047601199808755,2.047601199808755,0.001061017767836014,1,0.008700345696255314,19,37,37,41,6077.419873597677,lines,36
90.0,-90.0,3.9993056232182282,3.9993056232182282,0.006636093665607567,1,0.05441596805798205,20,38,38,42,3396.205223481055,lines,33
90.0,-90.0,1.454701048233312,1.454701048233312,0.009655208499685108,1,0.07917270969741788,20,39,39,43,1698.1026117405274,lines,34
90.0,-90.0,1.2532138785310125,1.2532138785310125,0.0020794721545383987,1,0.01705167166721487,20,40,40,44,3396.205223481055,lines,37
90.0,-90.0,1.8823893132312184,1.8823893132312184,0.007514020690225535,1,0.06161496965984938,22,41,41,45,2189.658630928575,lines,36
90.0,-90.0,1.777009374133308,1.777009374133308,0.002102615191994796,1,0.017241444574357327,24,42,42,46,4021.8219751749325,lines,26
90.0,-90.0,1.1743743717355504,1.1743743717355504,0.003126505250815498,1,0.025637343056687086,27,43,43,47,2681.214650116622,lines,34
90.0,-90.0,2.2810718086707698,2.2810718086707698,0.003785008600601789,1,0.03103707052493467,28,44,44,48,3396.205223481055,lines,34
90.0,-90.0,6.871195480193668,6.871195480193668,0.002478632804816838,1,0.020324788999498068,30,45,45,49,7283.966466150157,lines,35
90.0,-90.0,2.841025594583496,2.841025594583496,0.0028351633943507356,1,0.02324833983367603,2,46,46,5,4379.31726185715,lines,7
90.0,-90.0,2.5542956285041005,2.5542956285041005,0.004238372016881549,1,0.034754650538428696,31,47,47,50,3396.205223481055,lines,37
90.0,-90.0,4.5077984547689525,4.5077984547689525,0.003324374066655655,1,0.02725986734657637,33,48,48,51,5094.3078352215825,lines,34
90.0,-90.0,17.906526243698675,17.906526243698675,0.0013316115224353564,1,0.010919214483969923,2,49,49,6,16042.600989864455,lines,8
90.0,-90.0,4.0239949816460205,4.0239949816460205,0.004015691830712426,1,0.032928673011841894,2,50,50,7,4379.31726185715,lines,20
90.0,-90.0,0.5266404162701955,0.5266404162701955,0.04171419942875124,1,0.3420564353157602,2,51,51,8,491.5560191880474,lines,22
90.0,-90.0,1.6411575567035772,1.6411575567035772,0.0020781020444500566,1,0.017040436764490463,2,52,52,9,3887.761242669102,lines,36
