H,b_block,candidate_added_by_converter,candidate_export_compatibility,candidate_export_table,candidate_kind,candidate_sizing_policy,carrier,charge_efficiency,charge_rating,cost_inv_block,discharge_efficiency,discharge_rating,e_block,energy,energy_clamped,energy_policy,energy_policy_reason,energy_rating,energy_raw,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,ps,q_block_max,q_block_min,qs,shutdown_block_cost,startup_block_cost,status,storage_bus,type,x_gfm
3.7,1.0,,,,,,hydro,0.0,1690.7,3.5469043323897272e6,0.9,1690.7,220867.07954364823,845.35,false,clamp,,1.8552834681666452e7,845.35,true,1,1,0.0,84,84,1.0,false,clip_na0_to_n0,AL1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,1,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,5044.3,2.6601782492922958e7,0.8660254037844386,5044.3,26777.67608898595,2522.15,false,clamp,,883663.3109365364,2522.15,true,2,2,0.0,33,33,1.0,false,clip_na0_to_n0,AT1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,2,gfm,
3.7,1.0,,,,,,hydro,0.0,3152.62,3.5469043323897272e6,0.9,3152.62,220867.07954364823,1576.31,false,clamp,,3.4676131488352776e7,1576.31,true,3,3,0.0,157,157,1.0,false,clip_na0_to_n0,AT1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,2,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,440.0,2.6601782492922958e7,0.8660254037844386,440.0,26777.67608898595,220.0,false,clamp,,53555.3521779719,220.0,true,4,4,0.0,2,2,1.0,false,clip_na0_to_n0,BA1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,3,gfm,
3.7,1.0,,,,,,hydro,0.0,1614.5,3.5469043323897272e6,0.9,1614.5,220867.07954364823,807.25,false,clamp,,1.766936636349186e7,807.25,true,5,5,0.0,80,80,1.0,false,clip_na0_to_n0,BA1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,3,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,1308.0,2.6601782492922958e7,0.8660254037844386,1308.0,26777.67608898595,654.0,false,clamp,,214221.4087118876,654.0,true,6,6,0.0,8,8,1.0,false,clip_na0_to_n0,BE1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,4,gfm,
3.7,1.0,,,,,,hydro,0.0,12.782802547770691,3.5469043323897272e6,0.9,12.782802547770691,220867.07954364823,6.391401273885346,false,clamp,,220867.07954364823,6.391401273885346,true,7,7,0.0,1,1,1.0,false,clip_na0_to_n0,BE1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,4,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,864.0,2.6601782492922958e7,0.8660254037844386,864.0,26777.67608898595,432.0,false,clamp,,133888.38044492976,432.0,true,8,8,0.0,5,5,1.0,false,clip_na0_to_n0,BG1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,5,gfm,
3.7,1.0,,,,,,hydro,0.0,1925.1399999999999,3.5469043323897272e6,0.9,1925.1399999999999,220867.07954364823,962.5699999999999,false,clamp,,2.120323963619023e7,962.5699999999999,true,9,9,0.0,96,96,1.0,false,clip_na0_to_n0,BG1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,5,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,5369.85,2.6601782492922958e7,0.8660254037844386,5369.85,26777.67608898595,2684.925,false,clamp,,937218.6631145083,2684.925,true,10,10,0.0,35,35,1.0,false,clip_na0_to_n0,CH1 0 PHS,150.0,0.9999999999999999,45.0,-0.9999999999999999,0.0,75.0,-75.0,0.0,0.0,0.0,1,6,gfm,
3.7,1.0,,,,,,hydro,0.0,9526.98,3.5469043323897272e6,0.9,9526.98,220867.07954364823,4763.49,false,clamp,,1.0513272986277656e8,4763.49,true,11,11,0.0,476,476,1.0,false,clip_na0_to_n0,CH1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,6,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,1155.0,2.6601782492922958e7,0.8660254037844386,1155.0,26777.67608898595,577.5,false,clamp,,187443.73262290165,577.5,true,12,12,0.0,7,7,1.0,false,clip_na0_to_n0,CZ1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,7,gfm,
3.7,1.0,,,,,,hydro,0.0,672.9839022845104,3.5469043323897272e6,0.9,672.9839022845104,220867.07954364823,336.4919511422552,false,clamp,,7.288613624940392e6,336.4919511422552,true,13,13,0.0,33,33,1.0,false,clip_na0_to_n0,CZ1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,7,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,7594.62,2.6601782492922958e7,0.8660254037844386,7594.62,26777.67608898595,3797.31,false,clamp,,1.3388838044492975e6,3797.31,true,14,14,0.0,50,50,1.0,false,clip_na0_to_n0,DE1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,8,gfm,
3.7,1.0,,,,,,hydro,0.0,169.5,3.5469043323897272e6,0.9,169.5,220867.07954364823,84.75,false,clamp,,1.7669366363491858e6,84.75,true,15,15,0.0,8,8,1.0,false,clip_na0_to_n0,DE1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,8,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,8870.75,2.6601782492922958e7,0.8660254037844386,8870.75,26777.67608898595,4435.375,false,clamp,,1.5798828892501711e6,4435.375,true,16,16,0.0,59,59,1.0,false,clip_na0_to_n0,ES1 0 PHS,150.0,0.9999999999999999,45.0,-0.9999999999999999,0.0,75.0,-75.0,0.0,0.0,0.0,1,12,gfm,
3.7,1.0,,,,,,hydro,0.0,14846.837,3.5469043323897272e6,0.9,14846.837,220867.07954364823,7423.4185,false,clamp,,1.6388337302138698e8,7423.4185,true,17,17,0.0,742,742,1.0,false,clip_na0_to_n0,ES1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,12,gfm,
3.7,1.0,,,,,,hydro,0.0,1290.0,3.5469043323897272e6,0.9,1290.0,220867.07954364823,645.0,false,clamp,,1.4135493090793487e7,645.0,true,18,18,0.0,64,64,1.0,false,clip_na0_to_n0,FI2 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,14,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,4976.3,2.6601782492922958e7,0.8660254037844386,4976.3,26777.67608898595,2488.15,false,clamp,,883663.3109365364,2488.15,true,19,19,0.0,33,33,1.0,false,clip_na0_to_n0,FR1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,15,gfm,
3.7,1.0,,,,,,hydro,0.0,8057.005732484074,3.5469043323897272e6,0.9,8057.005732484074,220867.07954364823,4028.502866242037,false,clamp,,8.878856597654659e7,4028.502866242037,true,20,20,0.0,402,402,1.0,false,clip_na0_to_n0,FR1 0 hydro,20.0,1.0000000000000002,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,15,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,440.0,2.6601782492922958e7,0.8660254037844386,440.0,26777.67608898595,220.0,false,clamp,,53555.3521779719,220.0,true,21,21,0.0,2,2,1.0,false,clip_na0_to_n0,GB0 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,16,gfm,
3.7,1.0,,,,,,hydro,0.0,228.3,3.5469043323897272e6,0.9,228.3,220867.07954364823,114.15,false,clamp,,2.4295378749801307e6,114.15,true,22,22,0.0,11,11,1.0,false,clip_na0_to_n0,GB0 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,16,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,699.0,2.6601782492922958e7,0.8660254037844386,699.0,26777.67608898595,349.5,false,clamp,,107110.7043559438,349.5,true,23,23,0.0,4,4,1.0,false,clip_na0_to_n0,GR1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,18,gfm,
3.7,1.0,,,,,,hydro,0.0,2566.0,3.5469043323897272e6,0.9,2566.0,220867.07954364823,1283.0,false,clamp,,2.8270986181586973e7,1283.0,true,24,24,0.0,128,128,1.0,false,clip_na0_to_n0,GR1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,18,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,245.7,2.6601782492922958e7,0.8660254037844386,245.7,26777.67608898595,122.85,false,clamp,,26777.67608898595,122.85,true,25,25,0.0,1,1,1.0,false,clip_na0_to_n0,HR1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,19,gfm,
3.7,1.0,,,,,,hydro,0.0,1864.404458598726,3.5469043323897272e6,0.9,1864.404458598726,220867.07954364823,932.202229299363,false,clamp,,2.0540638397559285e7,932.202229299363,true,26,26,0.0,93,93,1.0,false,clip_na0_to_n0,HR1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,19,gfm,
3.7,1.0,,,,,,hydro,0.0,28.0,3.5469043323897272e6,0.9,28.0,220867.07954364823,14.0,false,clamp,,220867.07954364823,14.0,true,27,27,0.0,1,1,1.0,false,clip_na0_to_n0,HU1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,20,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,392.0,2.6601782492922958e7,0.8660254037844386,392.0,26777.67608898595,196.0,false,clamp,,53555.3521779719,196.0,true,28,28,0.0,2,2,1.0,false,clip_na0_to_n0,IE5 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,21,gfm,
3.7,1.0,,,,,,hydro,0.0,1.0,3.5469043323897272e6,0.9,1.0,220867.07954364823,0.0,true,clamp,energy_raw_above_energy_rating,0.0,0.5,true,29,29,0.0,0,0,0.0,true,clip_na0_to_n0,IE5 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,21,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,7331.9,2.6601782492922958e7,0.8660254037844386,7331.9,26777.67608898595,3665.95,false,clamp,,1.2853284522713255e6,3665.95,true,30,30,0.0,48,48,1.0,false,clip_na0_to_n0,IT1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,22,gfm,
3.7,1.0,,,,,,hydro,0.0,4045.9031847133756,3.5469043323897272e6,0.9,4045.9031847133756,220867.07954364823,2022.9515923566878,false,clamp,,4.461515006781694e7,2022.9515923566878,true,31,31,0.0,202,202,1.0,false,clip_na0_to_n0,IT1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,22,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,240.0,2.6601782492922958e7,0.8660254037844386,240.0,26777.67608898595,120.0,false,clamp,,26777.67608898595,120.0,true,32,32,0.0,1,1,1.0,false,clip_na0_to_n0,IT3 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,23,gfm,
3.7,1.0,,,,,,hydro,0.0,119.9585987261146,3.5469043323897272e6,0.9,119.9585987261146,220867.07954364823,59.9792993630573,false,clamp,,1.1043353977182412e6,59.9792993630573,true,33,33,0.0,5,5,1.0,false,clip_na0_to_n0,IT3 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,23,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,900.0,2.6601782492922958e7,0.8660254037844386,900.0,26777.67608898595,450.0,false,clamp,,160666.0565339157,450.0,true,34,34,0.0,6,6,1.0,false,clip_na0_to_n0,LT6 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,24,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,2582.0,2.6601782492922958e7,0.8660254037844386,2582.0,26777.67608898595,1291.0,false,clamp,,455220.49351276114,1291.0,true,35,35,0.0,17,17,1.0,false,clip_na0_to_n0,LU1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,25,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,307.0,2.6601782492922958e7,0.8660254037844386,307.0,26777.67608898595,153.5,false,clamp,,53555.3521779719,153.5,true,36,36,0.0,2,2,1.0,false,clip_na0_to_n0,ME1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,27,gfm,
3.7,1.0,,,,,,hydro,0.0,344.961,3.5469043323897272e6,0.9,344.961,220867.07954364823,172.4805,false,clamp,,3.75474035224202e6,172.4805,true,37,37,0.0,17,17,1.0,false,clip_na0_to_n0,ME1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,27,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,282.3,2.6601782492922958e7,0.8660254037844386,282.3,26777.67608898595,141.15,false,clamp,,26777.67608898595,141.15,true,38,38,0.0,1,1,1.0,false,clip_na0_to_n0,NO2 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,30,gfm,
3.7,1.0,,,,,,hydro,0.0,29130.0962,3.5469043323897272e6,0.9,29130.0962,220867.07954364823,14565.0481,false,clamp,,3.215824678155518e8,14565.0481,true,39,39,0.0,1456,1456,1.0,false,clip_na0_to_n0,NO2 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,30,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,1798.0,2.6601782492922958e7,0.8660254037844386,1798.0,26777.67608898595,899.0,false,clamp,,294554.43697884545,899.0,true,40,40,0.0,11,11,1.0,false,clip_na0_to_n0,PL1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,31,gfm,
3.7,1.0,,,,,,hydro,0.0,132.9936305732484,3.5469043323897272e6,0.9,132.9936305732484,220867.07954364823,66.4968152866242,false,clamp,,1.3252024772618893e6,66.4968152866242,true,41,41,0.0,6,6,1.0,false,clip_na0_to_n0,PL1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,31,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,3703.0,2.6601782492922958e7,0.8660254037844386,3703.0,26777.67608898595,1851.5,false,clamp,,642664.2261356628,1851.5,true,42,42,0.0,24,24,1.0,false,clip_na0_to_n0,PT1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,32,gfm,
3.7,1.0,,,,,,hydro,0.0,881.4,3.5469043323897272e6,0.9,881.4,220867.07954364823,440.7,false,clamp,,9.718151499920523e6,440.7,true,43,43,0.0,44,44,1.0,false,clip_na0_to_n0,PT1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,32,gfm,
3.7,1.0,,,,,,hydro,0.0,4449.9400000000005,3.5469043323897272e6,0.9,4449.9400000000005,220867.07954364823,2224.9700000000003,false,clamp,,4.903249165868991e7,2224.9700000000003,true,44,44,0.0,222,222,1.0,false,clip_na0_to_n0,RO1 0 hydro,20.0,0.9999999999999999,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,33,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,614.0,2.6601782492922958e7,0.8660254037844386,614.0,26777.67608898595,307.0,false,clamp,,107110.7043559438,307.0,true,45,45,0.0,4,4,1.0,false,clip_na0_to_n0,RS1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,34,gfm,
3.7,1.0,,,,,,hydro,0.0,790.1,3.5469043323897272e6,0.9,790.1,220867.07954364823,395.05,false,clamp,,8.613816102202281e6,395.05,true,46,46,0.0,39,39,1.0,false,clip_na0_to_n0,RS1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,34,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,92.0,2.6601782492922958e7,0.8660254037844386,92.0,26777.67608898595,46.0,false,clamp,,26777.67608898595,46.0,true,47,47,0.0,1,1,1.0,false,clip_na0_to_n0,SE2 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,35,gfm,
3.7,1.0,,,,,,hydro,0.0,10784.18662493251,3.5469043323897272e6,0.9,10784.18662493251,220867.07954364823,5392.093312466255,false,clamp,,1.190473558740264e8,5392.093312466255,true,48,48,0.0,539,539,1.0,false,clip_na0_to_n0,SE2 0 hydro,20.0,0.9999999999999999,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,35,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,180.0,2.6601782492922958e7,0.8660254037844386,180.0,26777.67608898595,90.0,false,clamp,,26777.67608898595,90.0,true,49,49,0.0,1,1,1.0,false,clip_na0_to_n0,SI1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,36,gfm,
3.7,1.0,,,,,,hydro,0.0,118.0,3.5469043323897272e6,0.9,118.0,220867.07954364823,59.0,false,clamp,,1.1043353977182412e6,59.0,true,50,50,0.0,5,5,1.0,false,clip_na0_to_n0,SI1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,36,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,822.453,2.6601782492922958e7,0.8660254037844386,822.453,26777.67608898595,411.2265,false,clamp,,133888.38044492976,411.2265,true,51,51,0.0,5,5,1.0,false,clip_na0_to_n0,SK1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,37,gfm,
3.7,1.0,,,,,,hydro,0.0,241.9,3.5469043323897272e6,0.9,241.9,220867.07954364823,120.95,false,clamp,,2.6504049545237785e6,120.95,true,52,52,0.0,12,12,1.0,false,clip_na0_to_n0,SK1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,37,gfm,
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,53,53,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_al1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,1,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,54,54,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_al1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,1,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,55,55,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_at1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,2,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,56,56,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_at1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,2,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,57,57,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_ba1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,3,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,58,58,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_ba1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,3,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,59,59,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_be1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,4,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,60,60,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_be1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,4,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,61,61,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_bg1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,5,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,62,62,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_bg1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,5,gfm,0.2
0.0,0.0,true,block_fields_required,storage,battery_gfl,fixed_config,battery_gfl,1.0,0.0,396341.1111467573,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,63,63,0.00999209748519236,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfl_ch1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,6,gfl,0.0
10.0,5.0,true,block_fields_required,storage,battery_gfm,fixed_config,battery_gfm,1.0,0.0,421112.43059342966,1.0,0.0,600.0,0.0,,,,0.0,0.0,true,64,64,0.010616603578016883,0,1000,0.0,false,clip_na0_to_n0,candidate_battery_gfm_ch1_0,100.0,1.0,0.0,0.0,0.0,60.0,-60.0,0.0,0.0,0.0,1,6,gfm,0.2
